instance,solver,rate reason-deletions,rate time,rate d-time
Nb52T6,smallsat@default,0,4521.38,4326.29
Problem14_label19_true-unreach-call.c,Lingeling@default,10119,622.57,428.87
T92.2.0,smallsat@default,907,4080.78,3888.51
gto_p60c235,cms55-main-all4fixed@main,20,1409.51,1218.10
Nb29T6,cms55-main-all4fixed@otherconf,0,1047.31,863.66
Nb39T6,cms55-main-all4fixed@otherconf,0,1891.56,1710.27
T90.2.0,smallsat@default,2035,2842.55,2662.02
Nb51T6,Maple_CM_ordUIP@default,0,956.79,778.78
gto_p60c234,cms55-main-all4fixed@otherconf,20,2043.21,1876.37
Nb39T6,cms55-main-all4fixed@autotune,0,1520.11,1357.46
a_rphp035_05,smallsat@default,0,4758.25,4595.73
a_rphp055_04,abcdsat_r18@default,3,5380.96,5220.90
Nb45T6,cms55-main-all4fixed@main,0,2859.05,2704.87
Nb45T6,CaDiCaL@DONTUNZIP-fixed,2,1088.73,936.41
Problem14_label19_true-unreach-call.c,abcdsat_r18@default,1365,2209.84,2058.21
gto_p60c234,abcdsat_r18@default,3,2579.89,2431.45
Nb39T6,CaDiCaL@DONTUNZIP-fixed,1,1154.66,1006.56
Problem14_label55_true-unreach-call.c,Lingeling@default,10276,366.98,220.96
Nb51T6,Maple_LCM+BCrestart_M1@default,0,983.69,837.88
T87.2.0,CaDiCaL@DONTUNZIP-fixed,8849,790.44,646.22
udiv35prop,Riss7.1-fix@BVE_DRAT,267,1840.17,1699.71
gto_p60c235,CaDiCaL@DONTUNZIP-fixed,30,1187.99,1048.31
Nb51T6,Maple_CM@default,0,1099.48,960.23
Nb51T6,expMC_LRB_VSIDS_Switch@default,0,997.68,858.89
gto_p60c239,Sparrow2Riss-2018-fixfix@MAIN,43,6439.94,6301.96
gto_p60c231_1,Glucose_Hack_Kiel_fastBVE@default,21,1592.13,1459.44
gto_p60c239,smallsat@default,4,3028.86,2897.38
T107.2.0,Lingeling@default,1113,754.83,624.60
gto_p60c241,abcdsat_r18@default,4,2889.78,2762.55
uniqinv25prop,Sparrow2Riss-2018-fixfix@MAIN,133,1949.57,1824.77
Nb45T6,abcdsat_r18@default,1,3085.87,2964.07
Problem14_label20_true-unreach-call.c,cms55-main-all4fixed@autotune,7753,144.53,24.83
T86.2.0,smallsat@default,1391,1936.79,1817.30
Nb51T6,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,0,962.14,844.30
Nb29T6,Candy@default,0,565.84,448.60
Nb51T6,Maple_LCM_Scavel_fix2@default,0,774.93,658.29
T82.2.0,smallsat@default,1110,1606.31,1491.58
gto_p60c231,smallsat@default,10,1496.92,1382.59
Problem14_label20_true-unreach-call.c,cms55-main-all4fixed@otherconf,7753,140.38,26.87
Problem14_label19_true-unreach-call.c,smallsat@default,851,576.57,464.73
a_rphp035_05,abcdsat_r18@default,0,4889.68,4780.04
pals_lcr-var-start-time.5_true-unreach-call.ufo.UNBOUNDED.pals.c,Lingeling@default,2293,670.54,562.72
Nb37T6,Sparrow2Riss-2018-fixfix@MAIN,2694,2587.50,2480.46
T117.2.0,CaDiCaL@DONTUNZIP-fixed,39753,970.47,864.14
gto_p60c238,smallsat@default,3,5189.14,5084.02
Nb52T6,Maple_CM_ordUIP+@default,0,877.34,772.32
Problem14_label20_true-unreach-call.c,cms55-main-all4fixed@glubreak,7753,131.54,26.93
Nb27T6,Maple_CM_ordUIP@default,0,541.07,436.76
Problem14_label20_true-unreach-call.c,cms55-main-all4fixed@main,7753,134.08,29.99
Nb51T6,expMC_LRB_VSIDS_Switch_2500@default,0,1012.10,908.66
Problem14_label20_true-unreach-call.c,Lingeling@default,10287,163.27,61.19
Problem14_label48_true-unreach-call.c,cms55-main-all4fixed@otherconf,7775,355.52,254.13
T98.2.0,smallsat@default,1060,1773.57,1672.23
dist4.c,CaDiCaL@DONTUNZIP-fixed,9622,701.33,605.75
gto_p60c238,CaDiCaL@DONTUNZIP-fixed,26,1627.99,1533.54
dist7.c,smallsat@default,128,1688.35,1593.93
a_rphp055_04,smallsat@default,0,2602.93,2509.80
Nb27T6,Maple_CM_ordUIP+@default,0,549.77,457.57
T93.2.0,smallsat@default,853,2335.15,2242.98
gto_p60c231_1,glucose-3.0_PADC_10@default,21,2149.96,2058.83
gto_p60c231,Sparrow2Riss-2018-fixfix@MAIN,20,2967.05,2878.80
huck.col.11,Candy@default,0,1207.29,1121.14
Nb51T6,Maple_CM_Dist@default,0,906.89,820.82
udiv35prop,Sparrow2Riss-2018-fixfix@MAIN,267,1787.23,1703.42
a_rphp065_04,Riss7.1-fix@BVE_DRAT,28,2497.40,2413.70
ae_rphp035_05,smallsat@default,0,3481.01,3397.54
Nb51T6,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,0,910.91,827.89
gto_p60c231_1,glucose3.0@proofs,21,1319.65,1236.64
Nb29T6,Lingeling@default,0,1255.76,1173.21
Nb39T6,glucose-3.0_PADC_10@default,0,1102.55,1020.28
T117.2.0,smallsat@default,1678,2123.10,2041.21
Nb27T6,cms55-main-all4fixed@glubreak,0,889.81,810.37
e_rphp065_04,varisat@default,0,1174.65,1095.68
mchess_15,varisat@default,0,1234.98,1156.68
gto_p60c234,CaDiCaL@DONTUNZIP-fixed,21,920.41,845.91
gto_p60c243,glucose-3.0_PADC_3@default,27,3720.07,3646.16
mchess_16,varisat@default,0,1901.09,1827.27
gto_p60c234,glucose-3.0_PADC_10@default,21,3997.56,3923.98
queen13_13.col.13,MapleLCMDistChronoBT@default,0,2158.59,2085.64
mchess_15,COMiniSatPS_Pulsar_drup@drup,0,661.82,589.11
T56.2.0,CaDiCaL@DONTUNZIP-fixed,37733,987.06,914.50
T82.2.0,CaDiCaL@DONTUNZIP-fixed,10485,1248.66,1176.20
queen8_12.col.12,abcdsat_r18@default,1,610.51,538.06
Nb51T6,MapleLCMDistChronoBT@default,0,869.02,797.20
gto_p60c234,cms55-main-all4fixed@main,20,1162.42,1091.74
Nb29T6,cms55-main-all4fixed@main,0,1475.47,1405.25
Nb29T6,MapleLCMDistChronoBT@default,0,294.23,229.04
gto_p60c243,Lingeling@default,4,1211.21,1146.19
Nb52T6,Maple_LCM+BCrestart_M1@default,62,782.02,717.09
Nb44T6,Maple_LCM+BCrestart_M1@default,0,733.64,669.30
Nb37T6,MapleCOMSPS_CHB_VSIDS_drup@CHB_VSIDS_drup,0,530.98,466.91
