instance,solver,rate time,rate d-time,gratgen time,drat-trim time,rate space,rate d-space,gratgen space,drat-trim space
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Lingeling@default,6.42,7.35,4.97,5.49,135.0,134.9,135.1,128.0
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Maple_CM@default,53.97,53.20,38.66,43.49,471.0,470.9,768.1,451.9
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Maple_CM_Dist@default,0.89,0.85,0.60,0.86,64.4,65.5,30.3,71.8
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,MapleCOMSPS_CHB_VSIDS_drup@CHB_VSIDS_drup,0.88,0.88,0.66,0.87,65.8,65.6,29.8,71.3
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,30.20,30.43,21.68,24.87,315.1,315.1,451.3,298.9
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,1.04,1.02,0.70,0.80,65.8,65.8,29.8,71.5
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Maple_LCM+BCrestart_M1@default,36.69,41.35,26.06,29.24,363.5,363.7,555.0,346.4
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Maple_LCM_M1@default,37.34,40.47,25.85,29.61,363.6,363.7,564.0,346.5
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,Maple_LCM_Scavel_fix2@default,48.70,50.60,36.78,41.71,467.3,467.2,756.1,448.5
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,smallsat@default,164.57,162.86,123.83,149.94,1110.7,1110.7,2040.3,1090.6
cms-scheel-md4-families-r24-c5-p1-5-10-12-18,varisat@default,480.62,484.53,363.91,433.37,3305.7,3305.7,6305.8,3297.6
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,CaDiCaL@DONTUNZIP-fixed,1.24,1.74,0.79,0.94,66.3,66.5,30.9,71.0
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,abcdsat_r18@default,1.19,1.20,1.36,1.45,70.0,69.9,38.0,73.9
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,cms55-main-all4fixed@glubreak,71.81,71.28,54.47,61.46,607.0,607.0,1006.4,586.2
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,cms55-main-all4fixed@main,188.79,197.84,130.72,144.59,1238.8,1238.8,2258.7,1217.6
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,COMiniSatPS_Pulsar_drup@drup,28.71,28.74,20.17,22.04,284.7,284.7,392.2,269.7
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,expMC_LRB_VSIDS_Switch_2500@default,126.59,137.66,84.19,101.39,972.1,972.0,1774.0,950.7
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,expMC_VSIDS_LRB_Switch_2500@default,105.20,107.29,80.60,86.82,779.9,779.9,1361.5,759.6
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,glucose3.0@proofs,511.81,468.90,641.70,750.61,2281.9,2281.9,4246.1,2264.7
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Glucose_Hack_Kiel_fastBVE@default,493.14,481.64,407.95,459.87,2282.0,2281.8,4246.0,2264.6
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Lingeling@default,193.10,177.21,149.39,172.37,919.4,919.3,1616.7,899.9
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_CM@default,234.82,227.11,158.25,183.33,1410.6,1410.9,2624.1,1390.6
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_CM_Dist@default,252.80,248.91,180.25,215.89,1483.7,1483.6,2756.0,1464.2
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_CM_ordUIP@default,450.88,466.84,350.86,412.14,2209.9,2209.9,4178.3,2194.8
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,MapleCOMSPS_CHB_VSIDS_drup@CHB_VSIDS_drup,19.69,18.65,11.25,13.59,211.8,211.8,240.0,198.1
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,MapleCOMSPS_LRB_VSIDS_2_fix@LRB_VSIDS_2_drup,203.47,201.31,140.43,170.59,1308.5,1308.2,2391.8,1287.2
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,MapleCOMSPS_LRB_VSIDS_drup@LRB_VSIDS_drup,205.08,192.32,131.01,155.61,1220.7,1220.7,2187.3,1199.5
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_LCM+BCrestart@default,217.07,212.76,153.34,178.31,1363.2,1363.1,2532.6,1342.8
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_LCM+BCrestart_M1@default,48.80,47.18,29.46,35.77,411.6,411.4,669.7,393.4
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,MapleLCMDistChronoBT@default,108.99,96.90,62.02,72.04,738.5,738.7,1306.9,718.3
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_LCM_M1@default,67.49,77.06,41.14,47.68,521.7,521.7,868.5,503.2
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_LCM_Scavel_200_fix2@default,38.10,37.91,24.34,29.03,349.4,349.2,519.0,333.8
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Maple_LCM_Scavel_fix2@default,23.64,24.25,15.47,18.73,255.9,255.8,362.6,243.9
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Riss7.1-fix@BVE_DRAT,439.37,448.44,374.66,409.84,2265.2,2265.2,4226.4,2249.3
cms-scheel-md4-families-r24-c5-p1-8-9-16-19,Sparrow2Riss-2018-fixfix@MAIN,435.94,444.92,611.27,697.10,2265.2,2265.4,4204.0,2249.3
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,CaDiCaL@DONTUNZIP-fixed,1.20,1.69,0.92,1.04,67.0,67.6,32.5,72.6
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,abcdsat_r18@default,1.21,1.28,1.69,1.88,74.6,74.8,43.4,76.8
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,cms55-main-all4fixed@autotune,0.56,0.45,0.36,0.50,57.3,58.0,17.9,66.5
cms-scheel-md4-families-r24-c6-p0-5-10-11-17-18,cms55-main-all4fixed@glubreak,0.46,0.41,0.31,0.45,55.8,56.5,17.7,65.0
